industrial,homebrew,capacitive,timestamp
1000.0000,230,5405,2015-01-28T02:08:24.126Z
1001.0000,231,5352,2015-01-28T02:08:22.499Z
999.0000,230,6098,2015-01-28T02:08:20.874Z
1002.0000,230,20709,2015-01-28T02:08:19.249Z
1000.0000,230,6541,2015-01-28T02:08:17.628Z
996.0000,229,6249,2015-01-28T02:08:16.022Z
995.0000,230,7953,2015-01-28T02:08:14.374Z
1004.0000,230,6028,2015-01-28T02:08:12.747Z
1004.0000,230,10752,2015-01-28T02:08:11.123Z
1006.0000,231,5504,2015-01-28T02:08:09.496Z
1004.0000,230,4623,2015-01-28T02:08:07.871Z
1005.0000,230,4483,2015-01-28T02:08:06.245Z
1007.0000,231,4469,2015-01-28T02:08:04.620Z
1000.0000,230,4558,2015-01-28T02:08:02.998Z
994.0000,229,4898,2015-01-28T02:08:01.370Z
1001.0000,231,5130,2015-01-28T02:07:59.408Z
1004.0000,230,4321,2015-01-28T02:07:57.246Z
992.0000,229,4420,2015-01-28T02:07:54.244Z
1000.0000,230,4383,2015-01-28T02:07:52.618Z
1005.0000,231,4498,2015-01-28T02:07:50.993Z
1000.0000,230,4413,2015-01-28T02:07:49.367Z
1008.0000,231,4419,2015-01-28T02:07:47.741Z
1008.0000,231,4419,2015-01-28T02:07:46.116Z
1005.0000,230,4424,2015-01-28T02:07:44.489Z
997.0000,230,4439,2015-01-28T02:07:42.614Z
1003.0000,230,4475,2015-01-28T02:07:40.989Z
1005.0000,230,4414,2015-01-28T02:07:39.365Z
1003.0000,230,4474,2015-01-28T02:07:37.739Z
1005.0000,231,4455,2015-01-28T02:07:35.988Z
1000.0000,231,4448,2015-01-28T02:07:34.034Z
1002.0000,230,4357,2015-01-28T02:07:32.364Z
1002.0000,231,4604,2015-01-28T02:07:30.736Z
1004.0000,231,4524,2015-01-28T02:07:29.111Z
1003.0000,230,4527,2015-01-28T02:07:27.486Z
994.0000,229,4516,2015-01-28T02:07:25.860Z
1004.0000,230,4491,2015-01-28T02:07:24.236Z
1003.0000,230,15403,2015-01-28T02:07:22.609Z
1004.0000,230,5141,2015-01-28T02:07:20.983Z
1004.0000,231,5224,2015-01-28T02:07:19.359Z
1004.0000,231,7325,2015-01-28T02:07:17.733Z
1005.0000,231,5260,2015-01-28T02:07:16.138Z
1008.0000,231,0,2015-01-28T02:07:13.857Z
996.0000,230,5000,2015-01-28T02:07:04.481Z
987.0000,232,4745,2015-01-28T02:07:02.855Z
996.0000,231,4621,2015-01-28T02:07:01.231Z
997.0000,231,4609,2015-01-28T02:06:59.603Z
997.0000,231,4627,2015-01-28T02:06:57.981Z
1004.0000,231,4636,2015-01-28T02:06:56.353Z
1003.0000,231,0,2015-01-28T02:06:54.102Z
997.0000,231,4740,2015-01-28T02:06:39.223Z
999.0000,230,4746,2015-01-28T02:06:35.598Z
1003.0000,231,4755,2015-01-28T02:06:31.973Z
996.0000,231,4761,2015-01-28T02:06:28.352Z
1002.0000,231,4771,2015-01-28T02:06:24.720Z
999.0000,231,4721,2015-01-28T02:06:21.094Z
981.0000,231,4733,2015-01-28T02:06:17.470Z
1004.0000,231,4716,2015-01-28T02:06:13.847Z
1003.0000,231,4730,2015-01-28T02:06:10.217Z
1006.0000,231,4830,2015-01-28T02:06:06.591Z
